,State,County,lat,lon,# Droughts VWC (2 CAT/2wk)(Tuesdays),# Droughts VWC (2 CAT/4wk)(Tuesdays),# Droughts VWC (-2 Z-SCORE/2wk)(Tuesdays),# Droughts VWC (-2 Z-SCORE/4wk)(Tuesdays),Highest Month VWC (2 CAT/2wk)(Tuesdays),Highest Month VWC (2 CAT/4wk)(Tuesdays),Highest Month VWC (-2 Z-SCORE/2wk)(Tuesdays),Highest Month VWC (-2 Z-SCORE/4wk)(Tuesdays)
127,NY,New York ,40.776557,-73.970174,15,9,43,34,['March'],['March'],['May'],['July']
128,NY,Niagara,43.194518,-78.786643,22,21,19,26,['April'],['September'],['September'],"['May', 'September', 'April']"
129,NY,Oneida,43.242727,-75.434282,29,28,40,38,['April'],"['August', 'April']",['September'],['June']
130,NY,Onondaga,43.00653,-76.196117,28,29,28,40,['April'],"['April', 'September']",['April'],['June']
131,NY,Ontario,42.856695,-77.303277,28,27,37,36,['April'],['April'],"['April', 'May']",['April']
132,NY,Orange,41.40241,-74.306252,16,14,25,29,['April'],['March'],['May'],['June']
133,NY,Orleans,43.255515,-78.23546,16,19,22,26,"['April', 'September']",['September'],['June'],"['July', 'April']"
134,NY,Oswego,43.461443,-76.209258,30,31,46,50,['May'],['April'],['May'],"['April', 'May']"
135,NY,Otsego,42.629776,-75.028841,30,34,35,29,['September'],"['April', 'September']","['April', 'September']",['June']
136,NY,Putnam,41.427904,-73.743882,24,18,42,41,['April'],['September'],['April'],['June']
137,NY,Queens ,40.658557,-73.837929,28,18,40,35,['April'],"['March', 'April']",['May'],['August']
138,NY,Rensselaer,42.710421,-73.513845,31,34,50,41,['April'],['April'],"['April', 'July']",['June']
139,NY,Richmond ,40.563855,-74.137063,20,14,45,32,['April'],['March'],"['April', 'May']","['May', 'April']"
140,NY,Rockland,41.154785,-74.024772,15,12,28,31,['April'],"['March', 'April']",['July'],['June']
141,NY,St. Lawrence,44.488113,-75.074311,31,28,27,36,['May'],['April'],['May'],['May']
142,NY,Saratoga,43.106135,-73.855387,29,24,56,42,['April'],['September'],"['September', 'July', 'April']",['June']
143,NY,Schenectady,42.817542,-74.043583,19,20,33,36,['April'],['April'],"['April', 'May', 'July']",['June']
144,NY,Schoharie,42.591294,-74.438172,25,27,27,28,['April'],['April'],['April'],['June']
145,NY,Schuyler,42.419776,-76.938604,17,20,21,25,"['April', 'September']",['September'],['May'],"['June', 'April']"
146,NY,Seneca,42.782294,-76.827088,26,24,21,34,['April'],['April'],['April'],['April']
147,NY,Steuben,42.266725,-77.385525,22,25,31,39,['April'],['September'],"['April', 'May']","['June', 'April']"
148,NY,Suffolk,40.943554,-72.692218,21,15,40,40,['April'],['March'],['April'],['April']
149,NY,Sullivan,41.720176,-74.76468,27,25,46,41,['April'],['September'],['April'],['June']
150,NY,Tioga,42.178057,-76.29745,30,33,24,35,"['April', 'September']",['September'],['April'],"['June', 'May']"
151,NY,Tompkins,42.453281,-76.473712,22,19,44,42,['April'],['September'],['July'],['April']
152,NY,Ulster,41.947232,-74.265447,27,25,39,44,['April'],['September'],['May'],"['June', 'July']"
153,NY,Warren,43.555105,-73.838139,27,23,55,49,['April'],['April'],"['May', 'July']",['June']
154,NY,Washington,43.312377,-73.439428,25,26,39,34,['April'],"['April', 'September']",['May'],['September']
155,NY,Wayne,43.145832,-77.017732,30,27,48,43,['April'],['September'],['May'],['April']
156,NY,Westchester,41.15277,-73.745912,30,23,46,37,['April'],"['September', 'April']",['April'],['June']
157,NY,Wyoming,42.701363,-78.228567,18,23,26,33,['April'],['September'],['June'],['June']
158,NY,Yates,42.638237,-77.104324,21,19,31,28,['April'],['March'],['April'],['April']
159,PA,Adams,39.869471,-77.21773,24,21,37,34,['April'],['April'],['April'],['April']
160,PA,Allegheny,40.46892,-79.98092,21,21,38,39,"['April', 'May']",['April'],['May'],['May']
161,PA,Armstrong,40.812379,-79.464128,23,25,29,29,"['September', 'April']",['September'],['May'],['September']
162,PA,Beaver,40.68414,-80.350721,21,17,32,24,"['April', 'May']","['September', 'April']",['September'],['June']
163,PA,Bedford,39.997115,-78.48998,25,21,32,37,['May'],"['September', 'April']",['May'],['April']
164,PA,Berks,40.413957,-75.92686,20,18,38,29,['April'],['March'],['April'],"['September', 'May']"
165,PA,Blair,40.497926,-78.31064,22,22,31,32,['April'],['September'],['May'],['September']
166,PA,Bradford,41.791495,-76.502124,24,27,24,28,['April'],['July'],['April'],"['July', 'August']"
167,PA,Bucks,40.336887,-75.10706,22,20,24,24,['April'],['April'],"['April', 'May']",['August']
168,PA,Butler,40.913834,-79.91896,20,18,26,27,['April'],['September'],['May'],['August']
169,PA,Cambria,40.494127,-78.715284,31,34,24,28,['September'],['September'],['May'],['September']
170,PA,Cameron,41.438289,-78.198315,31,30,20,32,['September'],"['September', 'May']",['May'],"['July', 'September', 'May']"
171,PA,Carbon,40.917833,-75.709428,26,24,43,33,['April'],"['March', 'September']",['May'],"['July', 'September']"
172,PA,Centre,40.90916,-77.84783,18,17,39,37,['April'],['September'],['April'],['May']
173,PA,Chester,39.973965,-75.749732,19,15,46,38,['April'],['March'],['April'],['September']
174,PA,Clarion,41.198239,-79.420404,27,26,30,37,['April'],['April'],['May'],['June']
175,PA,Clearfield,41.000249,-78.473749,23,23,29,33,['April'],"['September', 'March']",['April'],['May']
176,PA,Clinton,41.245301,-77.649141,25,26,35,38,['September'],['September'],['April'],"['April', 'July']"
177,PA,Columbia,41.045517,-76.40426,28,26,23,27,['April'],"['May', 'April']","['April', 'May']",['July']
178,PA,Crawford,41.68684,-80.107811,30,27,39,38,['September'],"['May', 'April']",['August'],"['May', 'July']"
